COUNTY,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL
ALLEGANY,11868,22908,78,230,73,8453,389,43999
ANNE ARUNDEL,175138,130762,650,2300,427,98350,3041,410668
BALTIMORE CITY,303826,28218,903,1073,646,56663,3971,395300
BALTIMORE CO.,311586,138270,903,2529,685,108672,5999,568644
CALVERT,24005,28073,94,415,70,15489,556,68702
CAROLINE,6287,10617,34,110,39,4537,164,21788
CARROLL,33890,64368,192,802,101,28865,1051,129269
CECIL,20849,32227,112,452,104,16672,685,71101
CHARLES,74881,23460,131,428,142,22176,862,122080
DORCHESTER,9655,9016,22,110,34,3824,189,22850
FREDERICK,77282,68809,332,1168,176,49092,1087,197946
GARRETT,3739,13711,25,105,20,2841,158,20599
HARFORD,65717,80695,248,1196,200,41705,1647,191408
HOWARD,122194,49372,357,903,130,57367,2030,232353
KENT,5868,5254,20,68,22,2594,111,13937
MONTGOMERY,413365,98170,1128,2266,445,160577,5580,681531
PR. GEORGE'S,464963,37836,783,1332,593,86155,10872,602534
QUEEN ANNE'S,11202,19746,47,224,34,8082,299,39634
ST. MARY'S,25640,32009,111,478,87,17028,660,76013
SOMERSET,5613,6024,23,62,15,2303,113,14153
TALBOT,10865,11760,41,141,20,5682,227,28736
WASHINGTON,31626,44282,169,631,126,22325,876,100035
WICOMICO,26948,24081,107,354,109,13629,677,65905
WORCESTER,13954,19237,55,214,35,8492,465,42452
TOTAL,2250961,998905,6565,17591,4333,841573,41709,4161637
