2018 General Election Results,U.S. Senate,,,,,,,,,,,
,,,,,,,,,,,,
County,Tim Aalders        (CON),Craig R. Bowden        (LIB),Reed C. McCandless       (IAP),Jenny Wilson              (DEM),Mitt Romney              (REP),Glade G Fitzgerald (Write-in),Caleb Dan Reeve (Write-in),Hektor Reiksthegn   (Write-in),Abe Korb                  (Write-in),Ryan Daniel Jackson (Write-in),Cody Judy        (Write-in),Tyrone Jensen         (Write-in)
Beaver,138.00,45.00,30.00,298.00,1620.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Box Elder,718.00,533.00,269.00,2603.00,14803.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Cache,1250.00,1106.00,345.00,8854.00,28344.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00
Carbon,237.00,168.00,217.00,1879.00,4387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daggett,11.00,7.00,6.00,80.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Davis,3005.00,3232.00,1952.00,29249.00,86840.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Duchesne,490.00,112.00,76.00,569.00,4522.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
Emery,88.00,73.00,169.00,509.00,3033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Garfield,71.00,36.00,19.00,388.00,1626.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grand,96.00,110.00,59.00,2138.00,1935.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iron,866.00,597.00,206.00,2846.00,11286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juab,210.00,80.00,52.00,492.00,3320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kane,109.00,89.00,38.00,746.00,2135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Millard,284.00,90.00,55.00,512.00,3672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morgan,178.00,124.00,49.00,600.00,4144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Piute,62.00,21.00,8.00,77.00,524.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rich,33.00,24.00,5.00,124.00,911.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Salt Lake,6759.00,9854.00,4265.00,186856.00,207719.00,1.00,13.00,2.00,0.00,1.00,0.00,3.00
San Juan,139.00,127.00,97.00,2096.00,2934.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sanpete,418.00,133.00,195.00,1139.00,7367.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sevier,408.00,173.00,113.00,771.00,5810.00,0.00,1.00,0.00,0.00,0.00,0.00,11.00
Summit,289.00,383.00,139.00,10229.00,9170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tooele,992.00,726.00,338.00,5491.00,14407.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Uintah,711.00,306.00,158.00,1135.00,7946.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Utah,5097.00,4635.00,1739.00,28856.00,135240.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Wasatch,272.00,222.00,101.00,3467.00,8126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Washington,3352.00,1885.00,911.00,11757.00,42602.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
Wayne,48.00,25.00,17.00,267.00,999.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Weber,2443.00,2691.00,1080.00,24513.00,49458.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00
TOTAL,28774.00,27607.00,12708.00,328541.00,665215.00,1.00,29.00,2.00,0.00,3.00,0.00,17.00
Percentage,0.03,0.03,0.01,0.31,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Contest Sum,1062897,,,,,,,,,,,
