committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,M3,2.02E+17,30B,500743122,1505347,IND,INDIVIDUAL,,,"KENNEDY, SEAN",DC,,,,,VOID OF STALE CHECK,,,2021-02-12,-4500,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,52:27.7,,,,0,KENNEDY,SEAN,,,,,,,,,,Y,,U,F3X,4.03E+18,WASHINGTON,200081504,OTHER,,2022,SB,4.03E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441642437,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,M3,2.02E+17,30B,500743119,1505347,ORG,ORGANIZATION,,,50 PLUS MARKETPLACE NEWS,CO,,,,,STALE CHECK,,,2021-02-12,-4024,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,52:27.7,,,,0,,,,,,,,,,,,Y,,U,F3X,4.03E+18,BOULDER,803033657,OTHER,,2022,SB,4.03E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441642434,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,M3,2.02E+17,30B,500743120,1505347,ORG,ORGANIZATION,,,50 PLUS MARKETPLACE NEWS,CO,,,,,VOID OF STALE CHECK,,,2021-02-12,-530,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,52:27.7,,,,0,,,,,,,,,,,,Y,,U,F3X,4.03E+18,BOULDER,803033657,OTHER,,2022,SB,4.03E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441642434,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,M3,2.02E+17,30B,500743126,1505347,IND,INDIVIDUAL,,,"SHEARNS, PATRICK",MA,,,,,VOID OF STALE CHECK,,,2021-02-12,-380,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,52:27.7,,,,0,SHEARNS,PATRICK,,,,,,,,,,Y,,U,F3X,4.03E+18,WEST ROXBURY,21321406,OTHER,,2022,SB,4.03E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441642439,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,M3,2.02E+17,30B,500743118,1505347,IND,INDIVIDUAL,,,"MATT, JOSHUA",CO,,,,,VOID OF STALE CHECK,,,2021-02-12,-337.5,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,52:27.7,,,,0,MATT,JOSHUA,,,,,,,,,,Y,,U,F3X,4.03E+18,DENVER,802114044,OTHER,,2022,SB,4.03E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441642437,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2022,M7,2.02E+17,21B,500807879,1631480,PAC,POLITICAL ACTION COMMITTEE,,,ACTBLUE,MA,,,,,BANK FEES,,,2022-06-12,0.4,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,36:48.5,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4.09E+18,WEST SOMERVILLE,21440031,OTHER,,2022,SB,4.09E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528696370,Other Federal Operating Expenditures,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,YE,2.02E+17,21B,500788162,1564151,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2021-12-01,0.99,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,48:05.1,,,,0,,,,,,,,,,,,Y,,U,F3X,4.01E+18,SOMERVILLE,21443132,OTHER,,2022,SB,4.02E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485483111,Other Federal Operating Expenditures,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,YE,2.02E+17,21B,500788163,1564151,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2021-12-01,0.99,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,48:05.1,,,,0,,,,,,,,,,,,Y,,U,F3X,4.01E+18,SOMERVILLE,21443132,OTHER,,2022,SB,4.02E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485483111,Other Federal Operating Expenditures,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,YE,2.02E+17,21B,500788164,1564151,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2021-12-01,0.99,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,48:05.1,,,,0,,,,,,,,,,,,Y,,U,F3X,4.01E+18,SOMERVILLE,21443132,OTHER,,2022,SB,4.02E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485483112,Other Federal Operating Expenditures,,,,,,
C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,2021,YE,2.02E+17,21B,500788239,1564151,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2021-12-26,0.99,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,48:05.1,,,,0,,,,,,,,,,,,Y,,U,F3X,4.01E+18,SOMERVILLE,21443132,OTHER,,2022,SB,4.02E+18,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485483116,Other Federal Operating Expenditures,,,,,,
