County,Election District,Election Precinct,Cong,Legs,Candidate Name,Party,Office Name,Office District,Winner,Election Night Votes
16,1,1,8,14,"Rushern L. Baker, III",DEM,Governor / Lt. Governor,,,44
16,1,1,8,14,Ralph Jaffe,DEM,Governor / Lt. Governor,,,3
16,1,1,8,14,Ben Jealous,DEM,Governor / Lt. Governor,,Y,65
16,1,1,8,14,"James Hugh Jones, II",DEM,Governor / Lt. Governor,,,3
16,1,1,8,14,Valerie Ervin,DEM,Governor / Lt. Governor,,,7
16,1,1,8,14,Rich Madaleno,DEM,Governor / Lt. Governor,,,14
16,1,1,8,14,Alec Ross,DEM,Governor / Lt. Governor,,,5
16,1,1,8,14,Jim Shea,DEM,Governor / Lt. Governor,,,7
16,1,1,8,14,Krish O'Mara Vignarajah,DEM,Governor / Lt. Governor,,,15
16,1,1,8,14,Peter Franchot,DEM,Comptroller            ,,Y,134
16,1,1,8,14,Brian E. Frosh,DEM,Attorney General       ,,Y,135
16,1,1,8,14,Ben Cardin,DEM,U.S. Senator           ,,Y,126
16,1,1,8,14,Erik Jetmir,DEM,U.S. Senator           ,,,0
16,1,1,8,14,Chelsea Manning,DEM,U.S. Senator           ,,,9
16,1,1,8,14,Marcia H. Morgan,DEM,U.S. Senator           ,,,6
16,1,1,8,14,Jerome Jerry Segal,DEM,U.S. Senator           ,,,13
16,1,1,8,14,Richard Rikki Vaughn,DEM,U.S. Senator           ,,,1
16,1,1,8,14,Debbie Rica Wilson,DEM,U.S. Senator           ,,,6
16,1,1,8,14,Lih Young,DEM,U.S. Senator           ,,,5
16,1,1,8,14,Utam Paul,DEM,Representative in Congress,8,,13
16,1,1,8,14,Jamie Raskin,DEM,Representative in Congress,8,Y,130
16,1,1,8,14,Summer Spring,DEM,Representative in Congress,8,,18
16,1,1,8,14,Craig J. Zucker,DEM,State Senator          ,14,Y,138
16,1,1,8,14,Anne R. Kaiser,DEM,House of Delegates     ,14,Y,124
16,1,1,8,14,Eric Luedtke,DEM,House of Delegates     ,14,Y,105
16,1,1,8,14,Pamela Queen,DEM,House of Delegates     ,14,Y,127
16,1,1,8,14,Paul Ransom,DEM,House of Delegates     ,14,,33
16,1,1,8,14,Roger Berliner,DEM,County Executive       ,,,19
16,1,1,8,14,David Blair,DEM,County Executive       ,,,45
16,1,1,8,14,Marc Elrich,DEM,County Executive       ,,Y,39
16,1,1,8,14,Bill Frick,DEM,County Executive       ,,,4
16,1,1,8,14,Rose Krasnow,DEM,County Executive       ,,,38
16,1,1,8,14,George L. Leventhal,DEM,County Executive       ,,,21
16,1,1,8,14,Gabe Albornoz,DEM,County Council At Large,,Y,31
16,1,1,8,14,Rosemary O. Arkoian,DEM,County Council At Large,,,14
16,1,1,8,14,Marilyn Balcombe,DEM,County Council At Large,,,46
16,1,1,8,14,Charles Barkley,DEM,County Council At Large,,,14
16,1,1,8,14,Shruti Bhatnagar,DEM,County Council At Large,,,5
16,1,1,8,14,Cherri L. Branson,DEM,County Council At Large,,,10
16,1,1,8,14,Brandy H. M. Brooks,DEM,County Council At Large,,,18
16,1,1,8,14,Craig Carozza-Caviness,DEM,County Council At Large,,,2
16,1,1,8,14,Ron Colbert,DEM,County Council At Large,,,5
16,1,1,8,14,Bill Conway,DEM,County Council At Large,,,19
16,1,1,8,14,Hoan Dang,DEM,County Council At Large,,,32
16,1,1,8,14,"Tom R. Falcinelli, Jr.",DEM,County Council At Large,,,11
16,1,1,8,14,Lorna Phillips Forde,DEM,County Council At Large,,,7
16,1,1,8,14,Jill Ortman Fouse,DEM,County Council At Large,,,25
16,1,1,8,14,Loretta Jean Garcia,DEM,County Council At Large,,,9
16,1,1,8,14,Paul S. Geller,DEM,County Council At Large,,,5
16,1,1,8,14,Evan Glass,DEM,County Council At Large,,Y,40
16,1,1,8,14,Richard Gottfried,DEM,County Council At Large,,,6
16,1,1,8,14,Neil H. Greenberger,DEM,County Council At Large,,,10
16,1,1,8,14,Seth Grimes,DEM,County Council At Large,,,7
16,1,1,8,14,Ashwani Jain,DEM,County Council At Large,,,24
16,1,1,8,14,Will Jawando,DEM,County Council At Large,,Y,41
16,1,1,8,14,David V. Lipscomb,DEM,County Council At Large,,,5
16,1,1,8,14,Melissa McKenna,DEM,County Council At Large,,,11
16,1,1,8,14,Danielle Meitiv,DEM,County Council At Large,,,15
16,1,1,8,14,Hans Riemer,DEM,County Council At Large,,Y,67
16,1,1,8,14,Michele Riley,DEM,County Council At Large,,,9
16,1,1,8,14,Graciela Rivera-Oven,DEM,County Council At Large,,,11
16,1,1,8,14,Darwin Romero,DEM,County Council At Large,,,2
16,1,1,8,14,Mohammad Siddique,DEM,County Council At Large,,,19
16,1,1,8,14,Jarrett Smith,DEM,County Council At Large,,,7
16,1,1,8,14,Steve Solomon,DEM,County Council At Large,,,6
16,1,1,8,14,Chris Wilhelm,DEM,County Council At Large,,,18
16,1,1,8,14,Jay Graney,DEM,County Council         ,4,,24
16,1,1,8,14,Nancy Navarro,DEM,County Council         ,4,Y,120
