OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
1,6,1,5,0,20682840.38,20115.8105,266,8,16,1,3,7,13-Jul,7013,7,13,20115.81061,17,MIDDLE SCHOOLS,07-13 Westland MS,69,1281251.528,471193.3984,13-Jul,Westland MS, 5511 Massachusetts Ave Bethesda MD 20816,-77.10930789,38.9604373,Bethesda MD 20816,5511 Massachusetts Ave,-77.10930789,20115.81061,20682839.98,38.9604373
2,7,1,6,0,17969746.49,17334.30131,265,8,16,1,3,7,11-Jul,7011,7,11,17334.30101,15,ELEMENTARY SCHOOLS,07-11 Somerset ES,67,1286060.208,474376.6576,11-Jul,Somerset ES, 5811 Warwick Pl Chevy Chase MD 20815,-77.09240816,38.96919221,Chevy Chase MD 20815,5811 Warwick Pl,-77.09240816,17334.30101,17969746.71,38.96919221
3,8,1,7,0,23264760.26,24716.4764,264,8,18,1,3,7,2-Jul,7002,7,2,24716.47673,177,PRIVATE,07-02 Chevy Chase Village Hall,201,1290290.11,474937.8035,2-Jul,Chevy Chase Village Hall, 5906 Connecticut Ave Chevy Chase MD 20815,-77.07753238,38.97074377,CHEVY CHASE MD 20815,5906 CONNECTICUT AVE,-77.07753238,24716.47673,23264760.82,38.97074377
4,9,1,8,0,22176927.83,30417.24938,253,8,20,5,4,13,13-67,13067,13,67,21015.94047,225,PRIVATE,13-67 Don Bosco Cristo Rey,158,1315098,477200.0002,13-67,Don Bosco Cristo Rey High School, 1010 Larch Ave Takoma Park MD 20912,-76.99027502,38.97698042,Takoma Park MD 20912,1010 Larch Ave,-76.99027502,21015.94047,10939593.29,38.97698042
5,10,1,9,0,11901389.63,17126.34894,263,8,20,5,4,13,13-06,13006,13,6,17126.34913,152,ELEMENTARY SCHOOLS,13-06 Piney Branch ES,126,1309667.25,479076.0937,13-06,Piney Branch ES, 7510 Maple Ave Takoma Park MD 20912,-77.00937888,38.98213166,Takoma Park MD 20912,7510 Maple Ave,-77.00937888,17126.34913,11901389.7,38.98213166
6,11,1,10,0,26052399.37,26096.29278,262,8,16,1,3,7,22-Jul,7022,7,22,26096.29248,21,ELEMENTARY SCHOOLS,07-22 Bannockburn ES,205,1273005.625,476280.7502,22-Jul,Bannockburn ES, 6520 Dalroy Ln Bethesda MD 20817,-77.13833399,38.97437501,BETHESDA MD 20817,6520 DALROY LN,-77.13833399,26096.29248,26052399.21,38.97437501
7,12,1,11,0,18823091.57,18350.65872,261,8,16,1,3,7,4-Jul,7004,7,4,18350.65886,11,ELEMENTARY SCHOOLS,07-04 Bethesda ES,61,1283947.125,480667.7187,4-Jul,Bethesda ES, 7600 Arlington Rd Bethesda MD 20814,-77.09986452,38.98645954,Bethesda MD 20814,7600 Arlington Rd,-77.09986452,18350.65886,18823091.43,38.98645954
8,13,1,12,0,13948897.02,15380.64276,260,8,18,1,3,7,6-Jul,7006,7,6,15380.64291,14,ELEMENTARY SCHOOLS,07-06 Chevy Chase ES,66,1289523.25,477787.7811,6-Jul,Chevy Chase ES, 4015 Rosemary St Chevy Chase MD 20815,-77.08023846,38.97856717,Chevy Chase MD 20815,4015 Rosemary St,-77.08023846,15380.64291,13948896.71,38.97856717
9,14,1,13,0,6841057.922,12470.46992,259,8,18,1,3,7,21-Jul,7021,7,21,12470.46963,182,PRIVATE,07-21 Chevy Chase United Methodist Ch,72,1290547.258,478404.4528,21-Jul,Chevy Chase United Methodist Church, 7001 Connecticut Ave Chevy Chase MD 20815,-77.07663816,38.98026279,Chevy Chase MD 20815,7001 Connecticut Ave,-77.07663816,12470.46963,6841057.894,38.98026279
10,15,1,14,0,43271549.13,31822.13679,258,8,16,1,3,7,23-Jul,7023,7,23,31822.13691,23,HIGH SCHOOLS,07-23 Walt Whitman HS,73,1276040.25,478918.9062,23-Jul,Walt Whitman HS, 7100 Whittier Blvd Bethesda MD 20817,-77.12767279,38.98163076,Bethesda MD 20817,7100 Whittier Blv,-77.12767279,31822.13691,43271549.07,38.98163076
